model,slice,n,accuracy,precision,recall,f1_score
Hybrid Linear SVM,overall (5-fold CV),57118,0.992786862285094,0.990246757046718,0.9963363972392136,0.9932822436001957
Hybrid Linear SVM,all header-aware real sources (out-of-fold),3450,0.9747826086956521,0.8934081346423562,0.9830246913580247,0.9360764144011756
Hybrid Linear SVM,real_2026_inbox only (out-of-fold),91,0.8791208791208791,0.5,0.5454545454545454,0.5217391304347826
Hybrid Linear SVM,nazario_public_corpus only (out-of-fold),637,0.9905808477237049,1.0,0.9905808477237049,0.9952681388012619
Hybrid Linear SVM,spamassassin_public_corpus only (out-of-fold),2722,0.9742836149889786,0.0,0.0,0.0
Text-only Linear SVM,overall (5-fold CV),57118,0.9915788367940054,0.9884423089409778,0.9959111576330509,0.9921626773988562
Text-only Linear SVM,all header-aware real sources (out-of-fold),3450,0.9576811594202899,0.8217948717948718,0.9891975308641975,0.8977591036414566
Text-only Linear SVM,real_2026_inbox only (out-of-fold),91,0.8461538461538461,0.42105263157894735,0.7272727272727273,0.5333333333333333
Text-only Linear SVM,nazario_public_corpus only (out-of-fold),637,0.9937205651491365,1.0,0.9937205651491365,0.9968503937007874
Text-only Linear SVM,spamassassin_public_corpus only (out-of-fold),2722,0.9529757531227039,0.0,0.0,0.0
