filename,true_label,pipeline_verdict,recommended_verdict,signals
hard_ham_00069.fde06e5843b931e8deedd526033cf45a.eml,legitimate,suspicious,phishing,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=malicious,cross_check_headers=malicious"
easy_ham_00184.4534b61b19d6102fe241eecf0a436a35.eml,legitimate,needs_review,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
phishing0.mbox_00121.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
hard_ham_00146.d0be2bddfe040fcd582b9cffe3116cb9.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
phishing0.mbox_00117.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
easy_ham_00153.2ba33aef8f6b3010c92db7f992fbec43.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00579.566d8e05220571bff1c2f392a1c7bf41.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
phishing0.mbox_00144.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
easy_ham_01005.5ad1b924b3315046822ae89493e5572f.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00058.1af25be2ce8df45186febc96c29c6109.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00121.92d8827f2a5d552697f3bd261e6c0399.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00392.1a94887ca585cbdaeec97524b9308b63.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00962.52e0a3b43febe264a7010803f7909f88.eml,legitimate,suspicious,suspicious,"whois_domain_age=neutral,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00991.ec5d16cf8c633a2f15b8f98a39c58a60.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
phishing0.mbox_00294.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
easy_ham_00990.ee34876c3873d8e6197432ad9c558429.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
phishing0.mbox_00071.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
hard_ham_00179.e07465b40c68c228dfb7133d8788e5cf.eml,legitimate,suspicious,phishing,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=malicious,cross_check_headers=malicious"
phishing0.mbox_00162.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
easy_ham_00391.57ff08c2830235fc1315c1745829d190.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_01171.bc028721505534967b4371da24b1e042.eml,legitimate,suspicious,suspicious,"whois_domain_age=neutral,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
